ymd,category,addr,notes,count
2016/04/27,非侵入窃盗,野々下1丁目,,1
2016/04/28,器物損壊,大字三輪野山1丁目,,1
2016/04/28,万引き,大字東深井,,1
2016/04/28,置引き,向小金1丁目,,1
2016/04/29,自転車盗,西初石2丁目,,1
2016/04/29,自転車盗,市野谷,,1
2016/04/29,置引き,西初石6丁目,,1
2016/04/30,車上ねらい,加6丁目,,1
2016/05/01,自転車盗,大字東深井,,1
2016/05/01,住居侵入,流山8丁目,,1
2016/05/01,置引き,西初石6丁目,,1
2016/05/03,出店荒し,南流山7丁目,,1
2016/05/03,自転車盗,加1丁目,,1
2016/05/03,自転車盗,向小金4丁目,,1
2016/05/03,器物損壊,東初石2丁目,,1
2016/05/03,器物損壊,平和台5丁目,,1
2016/05/04,忍び込み,十太夫,戸建,1
2016/05/04,自転車盗,大字東深井,,1
2016/05/04,自転車盗,南流山2丁目,,1
2016/05/05,自販機ねらい,東初石2丁目,,1
2016/05/05,器物損壊,東初石2丁目,,1
2016/05/05,住居侵入,東初石1丁目,,1
2016/05/06,自転車盗,大字東深井,,1
2016/05/06,自転車盗,中,,1
2016/05/06,自転車盗,南流山4丁目,,1
2016/05/06,万引き,大字東深井,,1
2016/05/06,万引き,江戸川台東3丁目,,1
2016/05/07,万引き,野々下3丁目,,1
2016/05/07,横領,南流山4丁目,,1
2016/05/07,住居侵入,江戸川台東3丁目,,1
2016/05/08,忍び込み,十太夫,戸建,1
2016/05/08,忍び込み,東初石5丁目,戸建,1
2016/05/08,自転車盗,流山1丁目,,1
2016/05/08,自転車盗,南流山2丁目,,1
2016/05/08,器物損壊,松ヶ丘5丁目,,1
2016/05/08,非侵入窃盗,南流山1丁目,,1
2016/05/09,器物損壊,南流山3丁目,,1
2016/05/09,置引き,大字東深井,,1
2016/05/09,置引き,駒木台,,1
2016/05/09,住居侵入,南流山5丁目,,1
2016/05/10,自転車盗,流山2丁目,,1
2016/05/10,非侵入窃盗,古間木,,1
2016/05/10,無銭飲食,東初石6丁目,,1
2016/05/11,車上ねらい,西初石3丁目,,1
2016/05/11,自転車盗,大字東深井,,1
2016/05/11,万引き,向小金1丁目,,1
2016/05/11,暴行,流山4丁目,,1
2016/05/11,傷害,南流山4丁目,,1
2016/05/12,自転車盗,西初石2丁目,,1
2016/05/12,自転車盗,江戸川台西1丁目,,1
2016/05/12,万引き,流山9丁目,,1
2016/05/13,車上ねらい,江戸川台東3丁目,,1
2016/05/13,車上ねらい,後平井,,1
2016/05/13,自転車盗,江戸川台東1丁目,,1
2016/05/14,自転車盗,大字東深井,,1
2016/05/14,住居侵入,野々下6丁目,4件,1
2016/05/15,部品ねらい,大字西深井,,1
2016/05/15,自転車盗,大字西深井,,1
2016/05/15,自転車盗,中,,1
2016/05/15,自転車盗,加1丁目,,1
2016/05/15,万引き,西初石6丁目,,1
2016/05/15,暴行,向小金2丁目,,1
2016/05/16,自動車盗,流山9丁目,,1
2016/05/16,車上ねらい,加2丁目,,1
2016/05/16,自販機ねらい,流山9丁目,,1
2016/05/16,事務所荒し,市野谷,,1
2016/05/16,事務所荒し,後平井,未遂,1
2016/05/16,自転車盗,南流山2丁目,,1
2016/05/16,器物損壊,西初石6丁目,,1
2016/05/16,万引き,西初石6丁目,,1
2016/05/17,ひったくり,江戸川台西1丁目,,1
2016/05/17,暴行,野々下6丁目,,1
2016/05/18,車上ねらい,南流山6丁目,,1
2016/05/18,車上ねらい,南流山7丁目,,1
2016/05/18,空き巣,向小金2丁目,集合住宅・未遂,1
2016/05/18,忍び込み,流山8丁目,戸建,1
2016/05/18,傷害,大字西平井,,1
2016/05/18,万引き,西初石6丁目,,1
2016/05/20,空き巣,向小金1丁目,集合住宅,1
2016/05/20,忍び込み,十太夫,戸建,1
2016/05/20,自転車盗,大字東深井,2件,1
2016/05/20,自転車盗,美原3丁目,,1
2016/05/20,自転車盗,大字西平井,,1
2016/05/20,詐欺,向小金1丁目,無賃乗車,1
2016/05/21,オートバイ盗,向小金1丁目,,1
2016/05/21,自転車盗,駒木,,1
2016/05/21,自転車盗,松ヶ丘1丁目,,1
2016/05/21,器物損壊,平和台3丁目,,1
2016/05/22,ひったくり,大字東深井,,1
2016/05/22,ひったくり,江戸川台東1丁目,,1
2016/05/22,車上ねらい,古間木,未遂,1
2016/05/22,器物損壊,平和台5丁目,,1
2016/05/22,暴行,南流山3丁目,,1
2016/05/23,車上ねらい,美田,,1
2016/05/23,部品ねらい,大字東深井,,1
2016/05/23,忍び込み,大字東深井,戸建,1
2016/05/23,自転車盗,江戸川台西2丁目,,1
2016/05/23,工事場ねらい,西初石5丁目,,1
2016/05/24,空き巣,南流山7丁目,集合住宅,1
2016/05/24,空き巣,南流山6丁目,集合住宅,1
2016/05/24,忍び込み,西初石5丁目,戸建,1
2016/05/25,部品ねらい,松ヶ丘1丁目,,1
2016/05/25,自販機ねらい,十太夫,,1
2016/05/25,自転車盗,南流山6丁目,,1
2016/05/25,非侵入窃盗,十太夫,,1
2016/05/25,非侵入窃盗,大字木,,1
2016/05/25,万引き,西初石6丁目,,1
2016/05/26,自転車盗,大字流山,,1
2016/05/26,器物損壊,南流山3丁目,,1
2016/05/26,非侵入窃盗,大字流山,,1
2016/05/26,住居侵入,名都借,,1
2016/05/27,自転車盗,西初石2丁目,,1
2016/05/27,自転車盗,西初石6丁目,,1
2016/05/27,非侵入窃盗,大字中野久木,,1
2016/05/27,万引き,大字東深井,,1
2016/05/27,万引き,中,,1
2016/05/27,万引き,西初石6丁目,,1
2016/05/28,忍び込み,江戸川台東2丁目,,1
2016/05/28,事務所荒し,大字西深井,,1
2016/05/28,自転車盗,大字東深井,,1
2016/05/28,自転車盗,南流山4丁目,,1
2016/05/28,住居侵入,江戸川台東4丁目,未遂,1
2016/05/28,色情ねらい,西松ヶ丘1丁目,,1
2016/05/30,傷害,西初石6丁目,,1
2016/05/30,万引き,大字東深井,,1
2016/05/30,非侵入窃盗,大字西深井,,1
2016/05/31,自転車盗,市野谷,,1
2016/05/31,自転車盗,大字三輪野山,,1
2016/05/31,自転車盗,南流山1丁目,,1
2016/05/31,自転車盗,松ヶ丘5丁目,,1
2016/05/31,非侵入窃盗,駒木,,1
2016/05/31,傷害,大字西平井,,1
2016/06/01,自転車盗,市野谷,,1
2016/06/02,車上ねらい,鰭ヶ崎,,1
2016/06/02,部品ねらい,向小金1丁目,,1
2016/06/02,部品ねらい,向小金2丁目,,1
2016/06/02,器物損壊,駒木,,1
2016/06/02,払出し盗,南流山2丁目,,1
